通報時間,溫度設定 (°C),通報環境溫度 (°C),氣象觀測時間,警報狀態,通知狀態
2026-06-18 10:58:03,28.0,32.2,2026-06-18 10:40:00,高溫超標警報,即時觀測更新
2026-06-18 11:08:03,28.0,32.4,2026-06-18 10:50:00,高溫超標警報,即時觀測更新
2026-06-18 11:18:03,28.0,32.5,2026-06-18 11:00:00,高溫超標警報,即時觀測更新
2026-06-18 11:28:03,28.0,32.5,2026-06-18 11:10:00,高溫超標警報,即時觀測更新
2026-06-18 11:38:04,28.0,32.4,2026-06-18 11:20:00,高溫超標警報,即時觀測更新
2026-06-18 11:48:03,28.0,32.4,2026-06-18 11:30:00,高溫超標警報,即時觀測更新
2026-06-18 11:58:03,28.0,32.5,2026-06-18 11:40:00,高溫超標警報,即時觀測更新
2026-06-18 12:08:03,28.0,32.4,2026-06-18 11:50:00,高溫超標警報,即時觀測更新
2026-06-18 12:18:04,28.0,32.4,2026-06-18 12:00:00,高溫超標警報,即時觀測更新
2026-06-18 12:28:03,28.0,32.7,2026-06-18 12:10:00,高溫超標警報,即時觀測更新
2026-06-18 12:38:04,28.0,33.0,2026-06-18 12:20:00,高溫超標警報,即時觀測更新
2026-06-18 12:48:03,28.0,32.9,2026-06-18 12:30:00,高溫超標警報,即時觀測更新
2026-06-18 12:58:03,28.0,32.8,2026-06-18 12:40:00,高溫超標警報,即時觀測更新
2026-06-18 13:08:03,28.0,32.7,2026-06-18 12:50:00,高溫超標警報,即時觀測更新
2026-06-18 13:18:05,28.0,32.8,2026-06-18 13:00:00,高溫超標警報,即時觀測更新
2026-06-18 13:28:03,28.0,32.9,2026-06-18 13:10:00,高溫超標警報,即時觀測更新
2026-06-18 13:38:03,28.0,32.7,2026-06-18 13:20:00,高溫超標警報,即時觀測更新
2026-06-18 13:48:03,28.0,32.7,2026-06-18 13:30:00,高溫超標警報,即時觀測更新
2026-06-18 13:58:03,28.0,32.4,2026-06-18 13:40:00,高溫超標警報,即時觀測更新
2026-06-18 14:08:03,28.0,32.6,2026-06-18 13:50:00,高溫超標警報,即時觀測更新
2026-06-18 14:18:03,28.0,32.0,2026-06-18 14:00:00,高溫超標警報,即時觀測更新
2026-06-18 14:28:03,28.0,32.2,2026-06-18 14:10:00,高溫超標警報,即時觀測更新
2026-06-18 14:38:04,28.0,32.2,2026-06-18 14:20:00,高溫超標警報,即時觀測更新
2026-06-18 14:48:04,28.0,32.1,2026-06-18 14:30:00,高溫超標警報,即時觀測更新
2026-06-18 14:58:03,28.0,31.8,2026-06-18 14:40:00,高溫超標警報,即時觀測更新
2026-06-18 15:08:03,28.0,31.8,2026-06-18 14:50:00,高溫超標警報,即時觀測更新
2026-06-18 15:18:03,28.0,31.8,2026-06-18 15:00:00,高溫超標警報,即時觀測更新
2026-06-18 15:28:03,28.0,31.3,2026-06-18 15:10:00,高溫超標警報,即時觀測更新
2026-06-18 15:38:05,28.0,31.2,2026-06-18 15:20:00,高溫超標警報,即時觀測更新
2026-06-18 15:48:03,28.0,31.3,2026-06-18 15:30:00,高溫超標警報,即時觀測更新
2026-06-18 15:58:03,28.0,31.3,2026-06-18 15:40:00,高溫超標警報,即時觀測更新
2026-06-18 16:08:03,28.0,31.2,2026-06-18 15:50:00,高溫超標警報,即時觀測更新
2026-06-18 16:18:04,28.0,31.1,2026-06-18 16:00:00,高溫超標警報,即時觀測更新
2026-06-18 16:28:05,28.0,31.0,2026-06-18 16:10:00,高溫超標警報,即時觀測更新
2026-06-18 16:38:03,28.0,30.6,2026-06-18 16:20:00,高溫超標警報,即時觀測更新
2026-06-18 16:48:03,28.0,30.5,2026-06-18 16:30:00,高溫超標警報,即時觀測更新
